Titles,Description,Discovered,Patched
"

			Remote code execution in Oracle PeopleSoft Enterprise PeopleTools			
CVE-2026-35273

","
Input validation error
The vulnerability allows a remote attacker to compromise the affected system.The vulnerability exists due to insufficient validation of user-supplied input. A remote non-authenticated attacker can send a specially crafted HTTP request and execute arbitrary code on the system.Note, the vulnerability is being actively exploited in the wild. ",2026-06-11,2026-06-11
"

			Multiple vulnerabilities in Check Point Gaia			
CVE-2026-50751

","
Improper authentication
The vulnerability allows a remote attacker to bypass authentication process.The vulnerability exists due to a logic error in the Remote Access and Mobile Access certificate validation during deprecated IKEv1 key exchange. A remote attacker can establish a remote access VPN connection without a valid user password and gain access to network resources available to authenticated users.Note, the vulnerability is being actively exploited in the wild. ",2026-06-09,2026-06-09
"

			Multiple vulnerabilities in Google Chrome			
CVE-2026-1164

","
Buffer overflow
The vulnerability allows a remote attacker to compromise the affected system.
The vulnerability exists due to a boundary error in V8 engine in Google Chrome. A remote attacker can trick the victim to visit a specially crafted webpage, trigger a stack-based buffer overflow and execute arbitrary code on the system.Note, the vulnerability is being actively exploited in the wild.
",2026-06-09,2026-06-09
"

			Remote denial of service in SolarWinds Serv-U FTP Server			
CVE-2026-28318

","
Improper handling of exceptional conditions
The vulnerability allows a remote attacker to cause a denial of service.The vulnerability exists due to improper handling of deflate-encoded post requests in Serv-U service when handling HTTP POST requests with Content-Encoding: deflate. A remote attacker can send a specially crafted HTTP POST request to cause a denial of service.Note, the vulnerability is being exploited in the wild. ",2026-06-04,2026-06-04
"

			Privilege escalation in Cisco Catalyst SD-WAN Manager			
CVE-2026-20245

","
Improper Encoding or Escaping of Output
The vulnerability allows a local user to compromise the target system.

The vulnerability exists due to insufficient validation of user-supplied input in the CLI. A local user can upload a specially crafted file and elevate privileges on the target system.Note, the vulnerability is being actively exploited in the wild.  ",2026-06-04,2026-06-01
"

			Multiple vulnerabilities in Google Android			
CVE-2025-48595

","
Improper input validation
The vulnerability allows a local application to escalate privileges on the device.
The vulnerability exists due to improper input validation within the Framework component. A local application can execute arbitrary code.Note, the vulnerability is being actively exploited in the wild. ",2026-06-01,2026-05-25
"

			Use of hard-coded credentials in KnowledgeDeliver			
CVE-2026-5426

","
Use of hard-coded credentials
The vulnerability allows a remote attacker to execute arbitrary code.The vulnerability exists due to insecure use of hardcoded cryptographic keys in ASP.NET ViewState handling in the KnowledgeDeliver ASP.NET application configuration when processing a crafted __VIEWSTATE parameter in an HTTP request. A remote attacker can send a specially crafted ViewState payload to execute arbitrary code.The issue arises because identical pre-shared ASP.NET machine keys were used across multiple customer deployments, allowing compromise of other internet-facing instances if the keys were obtained from one deployment.Note, the vulnerability is being actively exploited in the wild.  ",2026-05-25,2026-05-21
"

			Privilege escalation in LiteSpeed User-End cPanel Plugin			
CVE-2026-48172

","
Incorrect Privilege Assignment
The vulnerability allows a remote user to compromise the affected system.The vulnerability exists due to incorrect privilege assignment. A remote authenticated cPanel user can abuse the lsws.redisAble function to execute arbitrary scripts as root.Note, the vulnerability is being actively exploited in the wild.  ",2026-05-21,2026-05-21
"

			Multiple vulnerabilities in Trend Micro Apex One			
CVE-2026-34926

","
Relative Path Traversal
The vulnerability allows a local privileged user to inject malicious code for deployment to agents.The vulnerability exists due to path traversal in the Apex One server when accessing server directories. A local privileged user can modify a key table on the server to inject malicious code for deployment to agents.This issue is only exploitable on on-premise Apex One installations.Note, the vulnerability is being actively exploited in the wild. ",2026-05-21,2026-05-19
"

			Embedded malicious code in 42 Tanstack packages			
CVE-2026-45321

","
Embedded malicious code
The vulnerability allows a remote attacker to disclose sensitive information and execute malicious code in the install environment.The vulnerability exists due to presence of malicious code in compromised applications in the vendor's repository. The incident occurred on May 11, 2026 between approximately 19:20 and 19:26 UTC. Attackers have published 84 malicious versions across 42 @tanstack/* packages to the npm registry. The malicious payload runs during npm, pnpm, or yarn installation, harvests cloud credentials, GitHub tokens, npm tokens, Kubernetes service-account tokens, Vault tokens, and SSH private keys, and exfiltrates the collected data over the Session/Oxen file-upload network. ",2026-05-19,2026-05-19
